code	description
0	Desguace
1	Agotamiento
2	Antigüedad
3	Renovación del parque
4	Otros motivos
5	R.D.L 4/1994 , R.D.L 10/1994 , R.D.L 4/1997
7	Voluntaria
8	Exportación
9	Transito comunitario
A	De oficio por abandono
B	De oficio por seguridad
C	Por Tratamiento Residual
