code	description
0	Particular
1	Público
2	Auto Taxi
3	Alquiler con conductor
4	Alquiler sin conductor
5	Escuela de conductores
6	Agrícola
7	Obras y servicios
8	Transporte escolar
9	Mercancías peligrosas
