code	description
0	Gasolina
1	Diesel
2	Eléctrico
3	Otros
4	Butano
5	Solar
6	Gas Licuado de Petróleo
7	Gas Natural Comprimido
8	Gas Natural Licuado
9	Hidrógeno
A	Biometano
B	Etanol
C	Biodiesel
