code	description
1	Matriculación ordinaria y de ciclomotores
2	Transferencia
3	Baja definitiva (excluidos Plan Renove, Baja por exportación y Tránsito comunitario)
4	Baja definitiva por Plan Renove
5	Rematriculación
6	Baja temporal
7	Baja definitiva por Exportación y por Tránsito comunitario
8	Matriculación vehículo especial
9	Matriculación temporal
A	Prorroga matricula temporal
B	Paso de matrícula temporal a definitiva
